id,Timestamp,Country,Sentiment
1,2014-02-11 23:14:42,United States,0
2,2014-02-18 10:13:11,United States,0
3,2014-02-11 23:51:01,Russia,2
4,2014-02-08 17:34:21,Russia,0
5,2014-02-19 19:41:59,China,2
6,2014-02-10 22:33:24,Portugal,0
7,2014-02-08 01:25:52,Jordan,1
8,2014-02-09 18:23:46,Mexico,0
9,2014-02-22 08:47:30,Canada,2
10,2014-02-07 07:39:49,Argentina,0
11,2014-02-10 07:30:42,France,2
12,2014-02-16 10:05:43,Japan,0
13,2014-02-08 10:41:03,Poland,2
14,2014-02-11 02:56:40,Singapore,2
15,2014-02-20 06:36:45,Vietnam,2
16,2014-02-15 06:23:20,Ukraine,0
17,2014-02-15 02:48:26,Brazil,0
18,2014-02-17 15:21:55,Sweden,0
19,2014-02-20 08:41:24,Ireland,0
20,2014-02-07 13:11:02,Czech Republic,0
21,2014-02-13 15:53:58,United States,0
22,2014-02-07 15:41:24,United States,1
23,2014-02-17 22:11:51,Russia,2
24,2014-02-11 09:00:20,Russia,0
25,2014-02-17 23:27:16,China,0
26,2014-02-18 06:19:37,Portugal,2
27,2014-02-18 08:44:32,Jordan,1
28,2014-02-07 04:17:53,Mexico,0
29,2014-02-11 21:03:04,Canada,2
30,2014-02-12 17:22:40,Argentina,0
31,2014-02-22 19:57:03,France,2
32,2014-02-12 05:54:37,Japan,2
33,2014-02-10 01:13:51,Poland,1
34,2014-02-16 15:16:32,Singapore,1
35,2014-02-13 10:01:21,Vietnam,2
36,2014-02-12 01:23:46,Ukraine,2
37,2014-02-17 23:51:20,Brazil,2
38,2014-02-15 02:19:17,Sweden,0
39,2014-02-16 02:59:20,Ireland,1
40,2014-02-12 15:43:37,Czech Republic,0
41,2014-02-07 03:20:57,United States,2
42,2014-02-09 08:23:33,United States,2
43,2014-02-12 01:23:37,Russia,2
44,2014-02-21 00:30:36,Russia,1
45,2014-02-18 20:56:36,China,1
46,2014-02-18 00:45:13,Portugal,1
47,2014-02-17 15:08:34,Jordan,1
48,2014-02-14 06:55:32,Mexico,1
49,2014-02-22 09:16:17,Canada,2
